18:00,19:00,20:00,21:00,22:00,23:00,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00
47,62,63,65,63,63,94,94,78,47,45,62,78,78,62,63,65,63,62,49,60,62,64,62
62,64,64,75,62,64,62,142,63,59,47,62,47,63,62,63,60,50,63,64,63,78,47,109
59,62,61,64,63,61,63,63,61,63,62,63,63,109,47,50,59,54,66,61,47,63,62,156
61,55,63,62,47,48,62,48,79,48,60,78,47,61,46,62,63,46,47,66,62,64,60,253
64,49,66,94,63,47,62,96,60,69,63,63,62,63,47,66,63,60,141,59,63,60,66,65
46,64,74,63,47,45,63,61,63,55,46,62,63,46,47,63,65,62,78,62,62,66,47,107
65,47,62,62,63,63,62,79,47,63,64,63,47,78,62,47,75,94,78,65,62,59,63,94
59,63,65,61,62,62,63,61,47,62,61,47,47,62,62,47,49,66,49,46,66,66,62,94
65,47,58,47,47,62,62,62,62,64,60,63,47,62,63,62,48,60,48,63,48,48,78,93
60,62,63,48,47,47,63,63,78,61,63,78,47,65,62,63,61,79,48,64,46,47,53,96
70,51,62,110,62,63,62,47,63,48,62,62,62,60,62,62,46,61,64,61,61,68,60,61
61,63,63,48,65,66,47,66,64,61,63,63,63,60,62,47,59,91,65,66,49,70,59,154
62,50,62,63,60,60,62,90,63,50,92,62,63,62,47,53,62,63,74,60,94,63,62,124
63,62,63,62,47,61,47,66,62,62,62,78,47,64,47,64,45,48,92,46,80,60,61,62
62,63,68,67,62,63,62,66,47,66,59,47,47,66,62,63,65,93,63,48,62,48,63,64
65,63,60,67,63,65,63,64,47,59,65,47,62,59,47,50,60,79,60,46,78,47,65,63
60,63,77,49,62,60,62,67,72,64,60,47,63,59,47,53,63,78,64,63,63,60,60,46
78,63,67,108,63,62,46,79,47,47,47,47,47,62,47,51,64,62,60,50,64,62,63,65
64,64,46,62,62,63,62,64,204,50,65,78,47,63,62,49,47,63,45,59,49,62,66,126
62,63,47,50,63,48,63,44,62,31,78,62,47,65,62,62,74,79,49,63,61,92,47,75
63,78,47,63,62,78,63,58,47,58,50,47,62,59,63,62,141,61,47,47,125,61,47,60
63,45,46,62,47,45,62,63,189,60,62,47,47,69,47,50,49,66,54,61,63,65,123,77
57,47,60,62,47,74,63,49,228,47,66,63,47,119,63,61,47,91,62,48,49,60,62,78
59,47,63,65,63,250,62,62,63,64,45,62,62,48,47,64,62,63,62,47,79,65,62,62
65,47,62,45,62,156,63,78,62,78,62,78,63,64,62,50,96,61,62,59,62,60,62,62
60,81,62,48,63,63,47,47,281,64,63,47,63,61,63,43,61,48,64,63,62,79,65,112
63,79,68,77,62,48,62,59,47,59,62,47,62,63,47,63,79,63,61,66,47,78,60,62
62,47,48,62,63,63,47,75,60,63,83,62,47,62,63,47,48,62,63,59,63,62,63,61
61,50,62,60,62,267,47,63,316,62,59,63,46,78,47,54,79,46,63,70,49,63,63,61
62,62,65,82,63,63,47,62,300,63,66,62,63,78,47,47,46,78,62,55,59,65,63,65
64,63,60,60,62,65,47,66,47,65,59,63,62,65,47,65,62,93,64,63,63,51,61,75
61,62,64,63,63,48,47,59,48,60,63,62,63,78,47,65,78,62,63,54,80,47,76,95
63,66,61,63,46,61,62,60,392,62,63,63,62,64,47,66,63,80,78,61,77,62,62,109
47,47,78,62,63,50,63,46,62,50,62,47,63,47,62,63,62,109,63,62,59,63,63,62
47,78,65,63,62,47,62,62,328,47,45,63,62,48,47,66,64,79,62,49,63,65,47,187
62,47,66,62,94,61,63,64,174,60,48,47,63,62,47,46,61,62,47,46,62,75,47,63
58,52,64,63,63,60,62,76,66,63,55,62,62,59,62,47,109,63,63,43,78,63,45,63
79,47,46,62,62,109,47,78,59,47,46,63,47,64,62,64,63,62,64,62,66,62,48,66
59,62,61,63,47,63,47,78,358,49,60,62,63,61,47,62,62,60,76,63,42,79,47,65
50,64,62,62,63,63,62,63,81,61,48,63,62,63,47,66,78,63,78,63,62,65,60,47
66,47,63,49,47,64,63,78,44,61,64,62,63,95,47,47,64,45,64,54,65,60,140,47
59,67,64,60,63,79,46,50,249,45,60,63,62,47,49,51,61,48,61,61,60,140,79,93
60,47,64,45,47,62,63,62,61,63,60,62,63,47,47,47,78,63,62,47,46,47,77,63
50,47,66,48,63,60,62,78,63,47,63,47,62,59,63,50,61,65,66,63,66,62,66,142
126,62,49,64,62,47,63,44,408,48,62,46,63,63,63,63,78,47,59,47,43,62,48,93
61,65,61,61,63,78,46,78,46,47,65,79,62,60,64,47,60,63,62,61,62,79,62,61
63,47,50,61,62,63,47,63,60,43,41,46,63,64,63,63,62,65,156,62,48,46,61,61
63,65,61,62,47,62,47,62,94,61,79,47,47,78,47,47,66,78,128,64,92,78,64,62
62,66,47,65,62,47,46,62,61,45,47,78,62,61,48,65,123,78,60,61,63,66,47,83
78,63,64,63,47,60,63,66,63,63,62,62,47,63,49,63,62,78,115,63,65,60,60,47
62,47,61,47,63,80,63,78,62,61,63,47,62,64,46,63,63,60,57,64,62,62,78,62
78,94,64,60,63,45,63,62,51,63,62,62,63,61,47,49,62,126,62,47,47,62,65,50
65,62,65,62,63,61,62,62,63,62,64,63,62,78,63,62,61,46,79,78,62,65,60,48
47,65,59,78,62,47,47,78,62,64,46,47,47,62,47,63,62,200,78,63,63,61,61,109
153,64,62,65,47,60,62,63,48,61,63,46,47,63,62,62,67,80,75,66,62,78,61,78
50,78,63,64,62,47,47,62,61,78,58,62,78,65,47,62,65,80,110,59,62,62,81,65
59,65,80,61,63,48,47,50,61,63,66,63,62,76,47,64,81,59,62,47,64,78,76,79
62,47,60,64,62,47,47,62,63,63,49,47,63,64,46,50,62,62,65,61,63,69,62,75
65,50,63,76,63,60,47,63,63,62,50,62,62,50,63,47,78,47,61,127,46,46,78,65
60,62,65,78,62,64,47,65,112,62,49,46,48,60,66,47,80,47,62,47,78,47,61,60
65,64,62,79,63,79,62,78,63,63,59,47,47,80,47,62,61,65,125,59,47,52,48,62
60,51,60,63,62,62,63,78,47,66,60,46,47,61,65,62,78,110,61,50,48,65,63,92
63,62,61,65,63,62,47,61,91,59,63,63,63,65,62,66,48,78,60,48,47,60,48,63
63,47,47,60,62,61,63,63,79,62,48,62,62,76,65,50,66,59,62,64,60,63,62,59
94,47,67,64,63,62,62,110,249,44,63,47,62,66,65,51,78,125,47,45,81,63,64,65
65,62,62,61,62,66,63,61,61,49,62,62,63,59,62,66,77,64,46,47,59,54,66,60
60,63,66,80,63,59,62,79,46,60,68,63,62,64,49,49,61,94,48,47,46,62,63,65
