"type","time","duration"
"data_intensive_inertia","2017-08-10T18:26:18.616Z",107
"data_intensive_inertia","2017-08-10T18:26:23.13Z",80
"data_intensive_inertia","2017-08-10T18:26:28.129Z",118
"data_intensive_inertia","2017-08-10T18:26:32.949Z",431
"data_intensive_inertia","2017-08-10T18:26:41.069Z",91
"data_intensive_inertia","2017-08-10T18:26:44.589Z",90
"data_intensive_inertia","2017-08-10T18:26:49.259Z",102
"data_intensive_inertia","2017-08-10T18:26:54.25Z",1673
"data_intensive_inertia","2017-08-10T18:26:59.789Z",82
"data_intensive_inertia","2017-08-10T18:27:04.609Z",106
"data_intensive_inertia","2017-08-10T18:27:09.269Z",123
"data_intensive_inertia","2017-08-10T18:27:13.712Z",88
"data_intensive_inertia","2017-08-10T18:27:18.429Z",168
"data_intensive_inertia","2017-08-10T18:27:24.289Z",90
"data_intensive_inertia","2017-08-10T18:27:29.311Z",96
"data_intensive_inertia","2017-08-10T18:27:33.089Z",127
"data_intensive_inertia","2017-08-10T18:27:38.774Z",101
"data_intensive_inertia","2017-08-10T18:27:47.538Z",99
"data_intensive_inertia","2017-08-10T18:27:57.749Z",310
"data_intensive_inertia","2017-08-10T18:28:02.909Z",321
"data_intensive_inertia","2017-08-10T18:28:07.089Z",646
"data_intensive_inertia","2017-08-10T18:28:12.801Z",100
"data_intensive_inertia","2017-08-10T18:28:16.89Z",129
"data_intensive_inertia","2017-08-10T18:28:21.675Z",94
"data_intensive_inertia","2017-08-10T18:28:26.391Z",114
"data_intensive_inertia","2017-08-10T18:28:30.701Z",89
"data_intensive_inertia","2017-08-10T18:28:36.389Z",284
"data_intensive_inertia","2017-08-10T18:28:44.009Z",85
"data_intensive_inertia","2017-08-10T18:28:48.854Z",81
"data_intensive_inertia","2017-08-10T18:28:53.076Z",105
"data_intensive_inertia","2017-08-10T18:28:57.963Z",74
"data_intensive_inertia","2017-08-10T18:29:01.344Z",114
"data_intensive_inertia","2017-08-10T18:29:06.861Z",81
"data_intensive_inertia","2017-08-10T18:29:12.129Z",114
"data_intensive_inertia","2017-08-10T18:29:17.129Z",90
"data_intensive_inertia","2017-08-10T18:29:22.323Z",126
"data_intensive_inertia","2017-08-10T18:29:27.221Z",125
"data_intensive_inertia","2017-08-10T18:29:32.069Z",110
"data_intensive_inertia","2017-08-10T18:29:35.98Z",332
"data_intensive_inertia","2017-08-10T18:29:40.992Z",126
"data_intensive_inertia","2017-08-10T18:29:44.535Z",114
"data_intensive_inertia","2017-08-10T18:29:49.349Z",99
