name,time,duration
Krok 2,2017-08-10T18:28:57.963Z,1021
Krok 2,2017-08-10T18:29:01.344Z,927
Krok 2,2017-08-10T18:29:06.861Z,1010
Krok 2,2017-08-10T18:29:12.129Z,1690
Krok 2,2017-08-10T18:29:17.129Z,945
Krok 2,2017-08-10T18:29:22.323Z,1697
Krok 2,2017-08-10T18:29:27.221Z,927
Krok 2,2017-08-10T18:29:32.069Z,1032
Krok 2,2017-08-10T18:29:35.98Z,845
Krok 2,2017-08-10T18:29:40.992Z,1212
Krok 2,2017-08-10T18:29:44.535Z,1071
Krok 2,2017-08-10T18:29:49.349Z,985
"Czas oczekiwania","2017-08-10T18:21:30.186Z",105
"Czas oczekiwania","2017-08-10T18:21:35.283Z",92
"Czas oczekiwania","2017-08-10T18:21:41.269Z",92
"Czas oczekiwania","2017-08-10T18:21:45.598Z",83
"Czas oczekiwania","2017-08-10T18:21:50.507Z",124
"Czas oczekiwania","2017-08-10T18:21:56.001Z",141
"Czas oczekiwania","2017-08-10T18:22:01.353Z",127
"Czas oczekiwania","2017-08-10T18:22:06.508Z",364
"Czas oczekiwania","2017-08-10T18:22:11.082Z",125
"Czas oczekiwania","2017-08-10T18:22:16.658Z",87
"Czas oczekiwania","2017-08-10T18:22:20.502Z",106
"Czas oczekiwania","2017-08-10T18:22:25.39Z",91
"Czas oczekiwania","2017-08-10T18:22:29.499Z",110
"Czas oczekiwania","2017-08-10T18:22:32.926Z",96
"Czas oczekiwania","2017-08-10T18:22:36.366Z",85
"Czas oczekiwania","2017-08-10T18:22:41.925Z",193
"Czas oczekiwania","2017-08-10T18:22:46.152Z",123
"Czas oczekiwania","2017-08-10T18:22:52.858Z",93
"Czas oczekiwania","2017-08-10T18:22:56.937Z",99
"Czas oczekiwania","2017-08-10T18:23:00.475Z",88
"Czas oczekiwania","2017-08-10T18:23:06.203Z",131
"Czas oczekiwania","2017-08-10T18:23:12.044Z",124
"Czas oczekiwania","2017-08-10T18:23:16.217Z",105
