"name","time","duration"
"Czas oczekiwania","2017-09-02T15:24:08.903Z",230
"Czas oczekiwania","2017-09-02T15:24:10.318Z",111
"Czas oczekiwania","2017-09-02T15:24:12.151Z",132
"Czas oczekiwania","2017-09-02T15:24:13.721Z",181
"Czas oczekiwania","2017-09-02T15:24:15.519Z",116
"Czas oczekiwania","2017-09-02T15:24:17.088Z",82
"Czas oczekiwania","2017-09-02T15:24:18.598Z",154
"Czas oczekiwania","2017-09-02T15:24:20.007Z",117
"Czas oczekiwania","2017-09-02T15:24:21.59Z",109
"Czas oczekiwania","2017-09-02T15:24:22.857Z",161
"Czas oczekiwania","2017-09-02T15:24:24.489Z",202
"Czas oczekiwania","2017-09-02T15:24:26.026Z",807
"Czas oczekiwania","2017-09-02T15:24:28.6Z",119
"Czas oczekiwania","2017-09-02T15:24:30.091Z",110
"Czas oczekiwania","2017-09-02T15:24:31.965Z",157
"Czas oczekiwania","2017-09-02T15:24:33.571Z",117
"Czas oczekiwania","2017-09-02T15:24:35.22Z",130
"Czas oczekiwania","2017-09-02T15:24:36.898Z",131
"Czas oczekiwania","2017-09-02T15:24:38.482Z",143
"Czas oczekiwania","2017-09-02T15:24:40.018Z",118
"Czas oczekiwania","2017-09-02T15:24:41.591Z",118
"Czas oczekiwania","2017-09-02T15:24:43.371Z",122
"Czas oczekiwania","2017-09-02T15:24:46.098Z",1227
"Czas oczekiwania","2017-09-02T15:24:47.696Z",118
"Czas oczekiwania","2017-09-02T15:24:48.856Z",108
"Czas oczekiwania","2017-09-02T15:24:50.41Z",118
"Czas oczekiwania","2017-09-02T15:24:52.091Z",165
"Czas oczekiwania","2017-09-02T15:24:53.262Z",112
"Czas oczekiwania","2017-09-02T15:24:55.091Z",118
"Czas oczekiwania","2017-09-02T15:24:56.606Z",94
"Czas oczekiwania","2017-09-02T15:24:58.384Z",90
"Czas oczekiwania","2017-09-02T15:24:59.534Z",114
"Czas oczekiwania","2017-09-02T15:25:01.89Z",116
"Czas oczekiwania","2017-09-02T15:25:03.638Z",138
"Czas oczekiwania","2017-09-02T15:25:06.054Z",118
"Czas oczekiwania","2017-09-02T15:25:07.974Z",118
